fill date,Site,date of deployment,date of retrieval,numDaysField,initialMass,dryMass,Source_Cond,Site_Cond,Batch,Site,numDaysField,Batch,initialMass,dryMass,Source_Cond,Site_Cond,,,,,,,
7/12/2018,1,18/12/2018,18/12/2018,0,6.02,4.66,dry,dry,D8,1,0,D8,6.02,4.66,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,1,18/12/2018,18/12/2018,0,6.07,5.33,wet,dry,W8,1,0,W8,6.07,5.33,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,1,9/10/2018,5/11/2018,27,6.15,4.24,dry,dry,D4,1,27,D4,6.15,4.24,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,1,9/10/2018,5/11/2018,27,6.03,4.35,wet,dry,W4,1,27,W4,6.03,4.35,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,1,9/10/2018,5/11/2018,27,6.03,4.36,dry,dry,D4,1,27,D4,6.03,4.36,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,1,9/10/2018,5/11/2018,27,6.17,4.86,wet,dry,W4,1,27,W4,6.17,4.86,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,1,18/12/2018,15/1/2019,28,6.08,2.4,dry,dry,D8,1,28,D8,6.08,2.4,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,1,18/12/2018,15/1/2019,28,6.02,2.96,dry,dry,D8,1,28,D8,6.02,2.96,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,1,18/12/2018,15/1/2019,28,6.04,4.03,dry,dry,D8,1,28,D8,6.04,4.03,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,1,23/10/2018,20/11/2018,28,6.1,4.15,dry,dry,D5,1,28,D5,6.1,4.15,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,1,23/10/2018,20/11/2018,28,6,4.2,dry,dry,D5,1,28,D5,6,4.2,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,1,18/12/2018,15/1/2019,28,6.01,4.38,wet,dry,W8,1,28,W8,6.01,4.38,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,1,23/10/2018,20/11/2018,28,6.55,4.4,wet,dry,W5,1,28,W5,6.55,4.4,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,1,18/12/2018,15/1/2019,28,6,4.56,wet,dry,W8,1,28,W8,6,4.56,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,1,18/12/2018,15/1/2019,28,6,4.67,wet,dry,W8,1,28,W8,6,4.67,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,1,23/10/2018,20/11/2018,28,6.42,4.73,wet,dry,W5,1,28,W5,6.42,4.73,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,1,25/9/2018,20/11/2018,56,6.08,3.4,dry,dry,D3,1,56,D3,6.08,3.4,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,1,25/9/2018,20/11/2018,56,6.42,3.43,wet,dry,W3,1,56,W3,6.42,3.43,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,1,25/9/2018,20/11/2018,56,6.02,3.64,wet,dry,W3,1,56,W3,6.02,3.64,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,1,25/9/2018,20/11/2018,56,6.02,3.64,wet,dry,W3,1,56,W3,6.02,3.64,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,1,25/9/2018,20/11/2018,56,6.08,3.69,wet,dry,W3,1,56,W3,6.08,3.69,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,1,25/9/2018,20/11/2018,56,6.06,3.7,dry,dry,D3,1,56,D3,6.06,3.7,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,1,25/9/2018,20/11/2018,56,6,3.9,dry,dry,D3,1,56,D3,6,3.9,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,1,25/9/2018,20/11/2018,56,6.07,3.94,dry,dry,D3,1,56,D3,6.07,3.94,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,1,5/11/2018,2/1/2019,58,6.32,2.68,dry,dry,D6,1,58,D6,6.32,2.68,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,1,5/11/2018,2/1/2019,58,6.13,3.05,dry,dry,D6,1,58,D6,6.13,3.05,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,1,5/11/2018,2/1/2019,58,6.66,3.7,wet,dry,W6,1,58,W6,6.66,3.7,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,1,5/11/2018,2/1/2019,58,6.25,3.92,wet,dry,W6,1,58,W6,6.25,3.92,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,1,5/11/2018,2/1/2019,58,6.2,4.18,dry,dry,D6,1,58,D6,6.2,4.18,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,1,5/11/2018,2/1/2019,58,6.4,4.51,wet,dry,W6,1,58,W6,6.4,4.51,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.06,1.9,dry,dry,W1,1,113,D1,6.06,1.9,dry,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,1,11/9/2018,2/1/2019,113,6.12,2.01,wet,dry,D2,1,113,W2,6.12,2.01,wet,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,1,11/9/2018,2/1/2019,113,6.21,2.31,wet,dry,D2,1,113,W2,6.21,2.31,wet,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.19,2.34,dry,dry,W1,1,113,D1,6.19,2.34,dry,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.1,2.36,wet,dry,W1,1,113,W1,6.1,2.36,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.14,2.43,dry,dry,W1,1,113,D1,6.14,2.43,dry,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.1,2.46,wet,dry,W1,1,113,W1,6.1,2.46,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.57,2.92,dry,dry,W1,1,113,D1,6.57,2.92,dry,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,1,11/9/2018,2/1/2019,113,6.05,3.18,dry,dry,D2,1,113,D2,6.05,3.18,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.18,3.31,wet,dry,W1,1,113,W1,6.18,3.31,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,1,11/9/2018,2/1/2019,113,6.06,3.57,wet,dry,W1,1,113,W1,6.06,3.57,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,1,11/9/2018,2/1/2019,113,6.07,3.76,dry,dry,D2,1,113,D2,6.07,3.76,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,1,11/9/2018,2/1/2019,113,6.02,3.94,dry,dry,D2,1,113,D2,6.02,3.94,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,1,11/9/2018,2/1/2019,113,6.07,3.96,wet,dry,D2,1,113,W2,6.07,3.96,wet,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,1,9/10/2018,3/6/2019,237,6.04,0.91,wet,dry,W4,1,237,W4,6.04,0.91,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,1,9/10/2018,3/6/2019,237,6,1.96,dry,dry,D4,1,237,D4,6,1.96,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,1,4/12/2018,30/7/2019,238,6.06,0.4,wet,dry,W7,1,238,W7,6.06,0.4,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,1,4/12/2018,30/7/2019,238,6.78,0.82,dry,dry,D7,1,238,D7,6.78,0.82,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,1,4/12/2018,30/7/2019,238,6.01,0.82,wet,dry,W7,1,238,W7,6.01,0.82,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,1,23/10/2018,18/6/2019,238,6.84,0.86,wet,dry,W5,1,238,W5,6.84,0.86,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,1,4/12/2018,30/7/2019,238,6,0.98,wet,dry,W7,1,238,W7,6,0.98,wet,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,1,23/10/2018,18/6/2019,238,6.1,1.67,dry,dry,D5,1,238,D5,6.1,1.67,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,1,4/12/2018,30/7/2019,238,6.52,1.81,dry,dry,D7,1,238,D7,6.52,1.81,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,1,4/12/2018,30/7/2019,238,6.09,1.84,dry,dry,D7,1,238,D7,6.09,1.84,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,1,18/6/2019,18/2/2020,245,6,1.21,wet,dry,D9,1,245,W9,6,1.21,wet,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,1,18/6/2019,18/2/2020,245,6.07,1.44,dry,dry,D9,1,245,D9,6.07,1.44,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,1,18/6/2019,18/2/2020,245,6.17,1.94,dry,dry,D9,1,245,D9,6.17,1.94,dry,dry,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,1,18/6/2019,18/2/2020,245,6.02,2,wet,dry,D9,1,245,W9,6.02,2,wet,dry,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,3,23/10/2018,23/10/2018,0,6.53,4.55,wet,wet,W5,3,0,W5,6.53,4.55,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,23/10/2018,0,6.11,4.97,dry,wet,D5,3,0,D5,6.11,4.97,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,25/9/2018,0,6.02,5.08,dry,wet,D3,3,0,D3,6.02,5.08,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,25/9/2018,0,6.04,5.08,wet,wet,W3,3,0,W3,6.04,5.08,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,4/12/2019,0,6.31,5.26,dry,wet,D7,3,0,D7,6.31,5.26,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,5/11/2018,0,6.07,5.3,wet,wet,W6,3,0,W6,6.07,5.3,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/6/2019,0,6.03,5.36,wet,wet,D9,3,0,W9,6.03,5.36,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,4/12/2019,0,6.02,5.4,wet,wet,W7,3,0,W7,6.02,5.4,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,11/9/2018,0,6.08,5.47,dry,wet,W2,3,0,D2,6.08,5.47,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,11/9/2018,0,6.17,5.58,wet,wet,W2,3,0,W2,6.17,5.58,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,5/11/2018,0,6.36,5.59,dry,wet,D6,3,0,D6,6.36,5.59,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/6/2019,0,6.25,5.6,dry,wet,D9,3,0,D9,6.25,5.6,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,3,9/10/2018,5/11/2018,27,6,4.47,dry,wet,D4,3,27,D4,6,4.47,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,3,9/10/2018,5/11/2018,27,6.19,4.56,dry,wet,D4,3,27,D4,6.19,4.56,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,3,9/10/2018,5/11/2018,27,6.04,4.79,wet,wet,W4,3,27,W4,6.04,4.79,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,3,9/10/2018,5/11/2018,27,6.01,4.8,wet,wet,W4,3,27,W4,6.01,4.8,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,3,23/10/2018,20/11/2018,28,6.7,3.82,wet,wet,W5,3,28,W5,6.7,3.82,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,3,18/12/2018,15/1/2019,28,6.06,4.12,dry,wet,D8,3,28,D8,6.06,4.12,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,3,18/12/2018,15/1/2019,28,6.01,4.17,wet,wet,W8,3,28,W8,6.01,4.17,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,3,18/12/2018,15/1/2019,28,6.04,4.25,wet,wet,W8,3,28,W8,6.04,4.25,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,3,18/12/2018,15/1/2019,28,6.08,4.26,dry,wet,D8,3,28,D8,6.08,4.26,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,3,18/12/2018,15/1/2019,28,6.06,4.28,dry,wet,D8,3,28,D8,6.06,4.28,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,3,18/12/2018,15/1/2019,28,6.03,4.31,wet,wet,W8,3,28,W8,6.03,4.31,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,20/11/2018,28,6.06,4.51,dry,wet,D5,3,28,D5,6.06,4.51,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,20/11/2018,28,6.03,4.61,dry,wet,D5,3,28,D5,6.03,4.61,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,3,23/10/2018,20/11/2018,28,6.57,NA,wet,wet,W5,3,28,W5,6.57,NA,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.42,3.58,wet,wet,W3,3,56,W3,6.42,3.58,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.12,3.77,wet,wet,W3,3,56,W3,6.12,3.77,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6.1,4.08,dry,wet,D3,3,56,D3,6.1,4.08,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.15,4.18,wet,wet,W3,3,56,W3,6.15,4.18,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
14/9/2018,3,25/9/2018,20/11/2018,56,6.06,4.19,wet,wet,W3,3,56,W3,6.06,4.19,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6.06,4.38,dry,wet,D3,3,56,D3,6.06,4.38,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6,4.39,dry,wet,D3,3,56,D3,6,4.39,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17/9/2018,3,25/9/2018,20/11/2018,56,6.07,NA,dry,wet,D3,3,56,D3,6.07,NA,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,2/1/2019,58,6.02,4.47,wet,wet,W6,3,58,W6,6.02,4.47,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,2/1/2019,58,6.19,4.6,wet,wet,W6,3,58,W6,6.19,4.6,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,2/1/2019,58,6.24,4.68,dry,wet,D6,3,58,D6,6.24,4.68,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
26/10/2018,3,5/11/2018,2/1/2019,58,6.54,4.73,wet,wet,W6,3,58,W6,6.54,4.73,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,2/1/2019,58,6.16,4.81,dry,wet,D6,3,58,D6,6.16,4.81,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/10/2018,3,5/11/2018,2/1/2019,58,6.58,5.29,dry,wet,D6,3,58,D6,6.58,5.29,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.31,3.61,dry,wet,W1,3,113,D1,6.31,3.61,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.02,3.62,dry,wet,W2,3,113,D2,6.02,3.62,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.06,3.8,wet,wet,W1,3,113,W1,6.06,3.8,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.11,4.03,dry,wet,W2,3,113,D2,6.11,4.03,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.33,4.11,wet,wet,W2,3,113,W2,6.33,4.11,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.03,4.14,wet,wet,W1,3,113,W1,6.03,4.14,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.62,4.15,dry,wet,W1,3,113,D1,6.62,4.15,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.32,4.22,dry,wet,W1,3,113,D1,6.32,4.22,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.05,4.26,wet,wet,W1,3,113,W1,6.05,4.26,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.11,4.31,wet,wet,W2,3,113,W2,6.11,4.31,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.77,4.33,dry,wet,W1,3,113,D1,6.77,4.33,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.19,4.43,wet,wet,W2,3,113,W2,6.19,4.43,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,3,11/9/2018,2/1/2019,113,6.05,4.61,dry,wet,W2,3,113,D2,6.05,4.61,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,3,11/9/2018,2/1/2019,113,6.15,4.72,wet,wet,W1,3,113,W1,6.15,4.72,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,3,9/10/2018,3/6/2019,237,6.12,3.05,dry,wet,D4,3,237,D4,6.12,3.05,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,3,9/10/2018,3/6/2019,237,6.02,3.93,wet,wet,W4,3,237,W4,6.02,3.93,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,30/7/2019,238,6.01,1.95,wet,wet,W7,3,238,W7,6.01,1.95,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,30/7/2019,238,6.07,2.24,wet,wet,W7,3,238,W7,6.07,2.24,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,30/7/2019,238,6.17,2.6,dry,wet,D7,3,238,D7,6.17,2.6,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,30/7/2019,238,6.36,2.7,dry,wet,D7,3,238,D7,6.36,2.7,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,3,23/10/2018,18/6/2019,238,6.09,2.71,dry,wet,D5,3,238,D5,6.09,2.71,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,3,4/12/2018,30/7/2019,238,6.06,2.73,wet,wet,W7,3,238,W7,6.06,2.73,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,3,4/12/2018,30/7/2019,238,6.25,3.25,dry,wet,D7,3,238,D7,6.25,3.25,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12/10/2018,3,23/10/2018,18/6/2019,238,6.2,3.53,wet,wet,W5,3,238,W5,6.2,3.53,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6,2.66,wet,wet,D9,3,245,W9,6,2.66,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6.11,3.74,dry,wet,D9,3,245,D9,6.11,3.74,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6,4.17,wet,wet,D9,3,245,W9,6,4.17,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10/6/2019,3,18/6/2019,18/2/2020,245,6.24,4.24,dry,wet,D9,3,245,D9,6.24,4.24,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7/12/2018,4,18/12/2018,18/12/2018,0,6.07,4.23,dry,wet,D8,4,0,D8,6.07,4.23,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/12/2018,4,18/12/2018,18/12/2018,0,6.04,4.86,wet,wet,W8,4,0,W8,6.04,4.86,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8/11/2018,4,4/12/2018,4/12/2019,0,6.17,4.92,dry,wet,D7,4,0,D7,6.17,4.92,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
28/9/2018,4,9/10/2018,9/10/2018,0,6.03,5.1,dry,wet,D4,4,0,D4,6.03,5.1,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11/10/2018,4,23/10/2018,23/10/2018,0,6.03,5.12,dry,wet,D5,4,0,D5,6.03,5.12,dry,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
27/9/2018,4,9/10/2018,9/10/2018,0,6.04,5.39,wet,wet,W4,4,0,W4,6.04,5.39,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22/11/2018,4,4/12/2018,4/12/2019,0,6.03,5.44,wet,wet,W7,4,0,W7,6.03,5.44,wet,wet,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3/9/2018,4,11/9/2018,11/9/2018,0,6.12,5.46,wet,wet,D1,4,0,W1,6.12,5.46,wet,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8/9/2018,4,11/9/2018,11/9/2018,0,6.13,5.51,dry,wet,W2,4,0,D2,6.13,5.51,dry,wet,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
